STATE,DISTRICT,ASSESSMENT_UNIT,Rainfall_mm,Recharge_Worthy_Area_Command_ha,Recharge_Worthy_Area_Total_ha,Hilly_Area_ha,Total_Geographical_Area_ha,Annual_Ground_Water_Recharge_ham,Environmental_Flows_ham,Annual_Extractable_Ground_Water_Resource_ham,Extraction_Domestic_ham,Extraction_Industrial_ham,Extraction_Irrigation_ham,Total_Ground_Water_Extraction_ham,Stage_of_Ground_Water_Extraction_pct,Allocation_Domestic_2025_ham,Net_GW_Availability_Future_Use_ham,Major_Quality_Parameters,Other_Quality_Parameters
Rajasthan,Kota,District Summary,826.57,215015.0,512317.0,8077.0,520394.0,52166.54,5216.66,46949.89,9545.57,180.93,42189.74,51916.25,110.57,9545.58,4274.57,,
Rajasthan,Nagaur,District Summary,439.95,0.0,1771826.0,0.0,1771826.0,70199.28,6616.73,63582.56,15344.28,1157.25,95089.41,111590.94,185.54,14707.48,387.79,,
Rajasthan,Pali,District Summary,551.7,55040.0,1055139.0,180561.0,1235700.0,47114.76,4615.27,42499.49,4900.41,19.77,48292.0,53212.18,158.16,4651.51,1970.88,,
Rajasthan,Pratapgarh,District Summary,1032.47,34500.0,295039.0,140941.0,435980.0,23220.12,2322.02,20898.1,661.08,19.0,26442.57,27122.66,129.79,661.08,960.78,,
Rajasthan,Rajsamand,District Summary,642.78,25734.0,354009.0,109537.0,463546.0,12168.33,1216.84,10951.48,2570.61,391.64,10490.48,13452.74,122.9,2570.6,614.14,,
Rajasthan,Sawai Madhopur,District Summary,770.64,50498.0,432850.0,69215.0,502065.0,45447.0,4192.84,41254.16,7706.94,0.22,56507.46,64214.66,155.7,7706.94,0.0,,
Rajasthan,Sikar,District Summary,518.19,0.0,735692.0,52393.0,788085.0,38365.64,3623.46,34742.18,14310.85,221.32,51915.19,66447.37,192.74,14310.86,834.64,,
Rajasthan,Sirohi,District Summary,673.06,0.0,407570.0,106030.0,513600.0,31076.93,3107.72,27969.22,1958.24,344.54,30812.08,33114.86,118.4,1958.24,682.68,,
Rajasthan,Tonk,District Summary,637.36,141089.0,588174.0,131832.0,720006.0,47004.63,4464.05,42540.59,11021.63,36.0,30172.17,41229.79,97.05,11021.64,4623.2,,
Rajasthan,Udaipur,District Summary,727.04,69678.0,777092.0,398968.0,1176060.0,32930.84,3261.34,29669.5,3884.84,2059.79,24127.5,30072.14,101.37,3884.86,1736.92,,
